Training start time (UTC): 1970-01-01 02:00:00
IR,RED,Ax,Ay,Az
102903,88251,13264,1004,-2880
102898,88224,13660,444,-3220
102859,88186,17044,-1620,-3552
102780,88126,22140,-5948,-3556
102690,88053,22048,-8432,-2252
102652,88023,20552,-7112,-1736
102621,87995,19368,-3940,-3108
102627,88057,19144,-2812,-4352
102543,87971,19520,-3340,-5384
102593,88030,19120,-4860,-5520
102537,87962,19140,-6356,-5440
102612,88013,19064,-7248,-5472
102595,88019,19148,-8088,-5080
102640,88035,19508,-8364,-4668
102640,88031,19648,-7904,-4416
102643,88059,19520,-6760,-3828
102681,88109,19092,-5340,-3236
102716,88106,18552,-4512,-2904
102820,88206,17664,-4040,-2900
102872,88240,17412,-4152,-2832
103015,88328,16652,-3912,-1484
103047,88357,16204,-3536,-1120
103137,88391,16632,-2888,-2056
103097,88385,16648,-2524,-2328
103138,88367,16544,-1976,-1792
103097,88365,16480,-1712,-1776
103097,88345,16128,-1324,-2064
103031,88323,15868,-1180,-2668
102967,88278,15668,-1200,-3268
102904,88232,15612,-1744,-3600
102863,88197,15496,-2240,-3684
102825,88155,15424,-2492,-3748
102802,88161,15512,-2744,-3992
102743,88098,15444,-2932,-4236
102724,88121,15936,-2848,-4660
102670,88061,16204,-2676,-4832
102690,88118,16036,-2368,-4316
102631,88060,15684,-1880,-4308
102689,88123,15512,-1860,-4424
102623,88048,15180,-2016,-4888
102671,88096,14660,-2428,-4956
102663,88087,14124,-2656,-5292
102715,88134,14040,-2308,-5632
102685,88125,14108,-1964,-5800
102750,88146,14364,-2060,-5712
102775,88166,14484,-1948,-5040
102758,88144,14760,-1672,-5132
102779,88173,15420,-1744,-5576
102758,88120,15468,-2040,-5268
102798,88164,15472,-2600,-4816
102763,88135,15636,-3296,-4652
102814,88180,15884,-3912,-4784
102792,88166,16028,-3988,-4836
102840,88191,16100,-3780,-4756
102828,88175,16324,-3328,-4828
